Date,^GDAXI,FTSEMIB.MI,^FCHI,^IBEX,^STOXX50E
2021-10-13,15249.3798828125,25959.0,6597.3798828125,8881.400390625,4083.280029296875
2021-10-14,15462.7197265625,26278.0,6685.2099609375,8925.0,4149.06005859375
2021-10-15,15587.3603515625,26489.0,6727.52001953125,8997.0,4182.91015625
2021-10-18,15474.4697265625,26269.0,6673.10009765625,8936.0,4151.39990234375
2021-10-19,15515.830078125,26333.0,6669.85009765625,8996.2998046875,4166.830078125
2021-10-20,15522.919921875,26582.0,6705.60986328125,9017.900390625,4172.169921875
2021-10-21,15472.5595703125,26525.0,6686.169921875,8944.2998046875,4155.72998046875
2021-10-22,15542.98046875,26572.0,6733.68994140625,8906.400390625,4188.81005859375
2021-10-25,15599.23046875,26816.0,6712.8701171875,8920.900390625,4188.31005859375
2021-10-26,15757.0595703125,26971.0,6766.509765625,9001.599609375,4223.97021484375
2021-10-27,15705.8095703125,26806.0,6753.52001953125,8972.2998046875,4220.8798828125
2021-10-28,15696.330078125,26890.0,6804.22021484375,9025.7998046875,4233.8701171875
2021-10-29,15688.76953125,26876.0,6830.33984375,9057.7001953125,4250.56005859375
2021-11-01,15806.2900390625,27206.0,6893.2900390625,9182.599609375,4280.47021484375
2021-11-02,15954.4501953125,27190.0,6927.02978515625,9105.7001953125,4296.22021484375
2021-11-03,15959.98046875,27378.0,6950.64990234375,9030.7998046875,4309.60986328125
2021-11-04,16029.650390625,27522.0,6987.7900390625,9039.400390625,4333.33984375
2021-11-05,16054.3603515625,27796.0,7040.7900390625,9130.599609375,4363.0400390625
2021-11-08,16046.51953125,27711.0,7047.47998046875,9070.7998046875,4352.52978515625
2021-11-09,16040.4697265625,27441.0,7043.27001953125,9074.900390625,4344.6298828125
2021-11-10,16067.830078125,27561.0,7045.16015625,9141.7998046875,4348.81982421875
2021-11-11,16083.1103515625,27633.0,7059.5498046875,9092.2001953125,4358.0
2021-11-12,16094.0703125,27732.0,7091.39990234375,9080.7998046875,4370.330078125
2021-11-15,16148.6396484375,27868.0,7128.6298828125,9095.7001953125,4386.18994140625
2021-11-16,16247.8603515625,27805.0,7152.60009765625,9040.2001953125,4401.490234375
2021-11-17,16251.1298828125,27825.0,7156.85009765625,8993.400390625,4400.81005859375
2021-11-18,16221.73046875,27662.0,7141.97998046875,8903.2001953125,4383.7001953125
2021-11-19,16159.9697265625,27337.0,7112.2900390625,8753.2001953125,4356.47021484375
2021-11-22,16115.6904296875,27383.0,7105.0,8821.2998046875,4338.68994140625
2021-11-23,15937.0,26939.0,7044.6201171875,8815.099609375,4283.81982421875
2021-11-24,15878.3896484375,27109.0,7042.22998046875,8792.0,4276.25
2021-11-25,15917.98046875,27099.0,7075.8701171875,8840.900390625,4293.240234375
2021-11-26,15257.0400390625,25853.0,6739.72998046875,8402.7001953125,4089.580078125
2021-11-29,15280.8603515625,26042.0,6776.25,8455.2001953125,4109.509765625
2021-11-30,15100.1298828125,25814.0,6721.16015625,8305.099609375,4063.06005859375
2021-12-01,15472.669921875,26372.0,6881.8701171875,8452.599609375,4179.14990234375
2021-12-02,15263.1103515625,26005.0,6795.75,8300.7998046875,4108.02001953125
2021-12-03,15169.98046875,25939.0,6765.52001953125,8241.7001953125,4080.14990234375
2021-12-06,15380.7900390625,26498.0,6865.77978515625,8439.7001953125,4137.10986328125
2021-12-07,15813.9404296875,27138.0,7065.39013671875,8559.5,4276.2001953125
2021-12-08,15687.08984375,26752.0,7014.56982421875,8478.400390625,4233.08984375
2021-12-09,15639.259765625,26817.0,7008.22998046875,8399.599609375,4208.2998046875
2021-12-10,15623.3095703125,26722.0,6991.68017578125,8360.2001953125,4199.16015625
2021-12-13,15621.7197265625,26551.0,6942.91015625,8322.7001953125,4183.0400390625
2021-12-14,15453.5595703125,26557.0,6895.31005859375,8378.5,4144.509765625
2021-12-15,15476.349609375,26666.0,6927.6298828125,8275.0,4159.68017578125
2021-12-16,15636.400390625,26782.0,7005.06982421875,8380.0,4201.8701171875
2021-12-17,15531.6904296875,26611.0,6926.6298828125,8311.599609375,4161.35009765625
2021-12-20,15239.669921875,26178.0,6870.10009765625,8242.400390625,4107.1298828125
2021-12-21,15447.4404296875,26653.0,6964.990234375,8387.5,4174.990234375
2021-12-22,15593.4697265625,26828.0,7051.669921875,8459.099609375,4217.06005859375
2021-12-23,15756.3095703125,27016.0,7106.14990234375,8563.7001953125,4265.85986328125
2021-12-24,,,7086.580078125,,
2021-12-27,15835.25,27231.0,7140.39013671875,8622.099609375,4287.97998046875
2021-12-28,15963.7001953125,27445.0,7181.10986328125,8688.900390625,4311.93017578125
2021-12-29,15852.25,27344.0,7161.52001953125,8673.7001953125,4284.830078125
2021-12-30,15884.8603515625,27347.0,7173.22998046875,8713.7998046875,4306.06982421875
2021-12-31,,,7153.02978515625,,
2022-01-03,16020.73046875,27730.0,7217.22021484375,8761.2001953125,4331.81982421875
