"Date","Price","Open","High","Low","Change %"
"03/15/2017","181.91","189.39","189.39","181.91","-4.08%"
"03/14/2017","189.65","181.66","189.65","181.66","1.81%"
"03/13/2017","186.28","181.66","186.28","181.66","1.59%"
"03/10/2017","183.36","187.49","187.49","183.36","-1.34%"
"03/09/2017","185.85","187.49","187.49","185.85","0.54%"
"03/08/2017","184.86","182.56","184.86","182.56","1.88%"
"03/07/2017","181.44","181.55","181.55","181.44","-0.51%"
"03/06/2017","182.37","179.59","182.37","179.59","1.06%"
"03/03/2017","180.45","180.54","180.54","180.45","0.28%"
"03/02/2017","179.94","180.54","180.54","179.94","-0.58%"
"03/01/2017","180.99","189.20","189.20","180.99","-1.99%"
"02/28/2017","184.67","189.20","189.20","184.67","-3.11%"
"02/27/2017","190.59","191.16","191.16","190.59","-0.14%"
"02/24/2017","190.85","192.11","192.11","190.85","-0.33%"
"02/23/2017","191.48","196.88","196.88","191.48","-1.48%"
"02/22/2017","194.35","196.91","196.91","194.35","-0.29%"
"02/21/2017","194.92","189.30","194.92","189.30","0.01%"
"02/20/2017","194.90","189.30","194.90","189.30","3.08%"
"02/17/2017","189.08","177.76","189.08","177.76","5.94%"
"02/16/2017","178.47","180.65","180.65","178.47","-1.65%"
"02/15/2017","181.46","183.56","183.56","181.46","0.01%"
"02/14/2017","181.44","183.56","183.56","181.44","-1.31%"
"02/13/2017","183.85","186.48","186.48","183.85","-1.30%"
"02/10/2017","186.27","179.68","186.27","179.68","3.22%"
"02/09/2017","180.46","182.55","182.55","180.46","-1.79%"
"02/08/2017","183.75","182.55","183.75","182.55","0.76%"
"02/07/2017","182.37","182.57","182.57","182.37","0.58%"
"02/06/2017","181.32","173.85","181.32","173.85","4.75%"
"02/03/2017","173.09","173.88","173.88","173.09","-0.59%"
"02/02/2017","174.12","172.99","174.12","172.99","-0.08%"
"02/01/2017","174.26","173.05","174.26","173.05","0.65%"
"01/31/2017","173.13","165.25","173.13","165.25","-0.31%"
"01/30/2017","173.66","165.25","173.66","165.25","5.01%"
"01/27/2017","165.38","163.32","165.38","163.32","3.02%"
"01/26/2017","160.53","156.52","160.53","156.52","2.80%"
"01/25/2017","156.16","156.51","156.51","156.16","-0.61%"
"01/24/2017","157.12","157.97","157.97","157.12","-1.05%"
"01/23/2017","158.79","156.48","158.79","156.48","1.07%"
"01/20/2017","157.11","157.49","157.49","157.11","-0.66%"
"01/19/2017","158.15","158.50","158.50","158.15","0.01%"
"01/18/2017","158.14","158.50","158.50","158.14","-1.17%"
"01/17/2017","160.02","159.43","160.02","159.43","-0.33%"
"01/16/2017","160.55","158.47","160.55","158.47","-0.02%"
"01/13/2017","160.59","158.51","160.59","158.51","0.07%"
"01/12/2017","160.47","153.59","160.47","153.59","2.44%"
"01/11/2017","156.65","156.56","156.65","156.56","-1.22%"
"01/10/2017","158.59","156.54","158.59","156.54","0.01%"
"01/09/2017","158.57","157.55","158.57","157.55","-0.66%"
"01/06/2017","159.63","158.51","159.63","158.51","0.04%"
"01/05/2017","159.56","158.51","159.56","158.51","0.61%"
"01/04/2017","158.60","158.55","158.60","158.55","-0.03%"
"01/03/2017","158.65","163.42","163.42","158.65","-1.79%"
"01/02/2017","161.54","161.54","161.54","161.54","0.01%"
"12/30/2016","161.52","160.43","161.52","160.43","0.30%"
"12/29/2016","161.03","160.43","161.03","160.43","0.94%"
"12/28/2016","159.53","160.44","160.44","159.53","-0.61%"
"12/27/2016","160.51","160.44","160.51","160.44","0.00%"
"12/26/2016","160.51","160.42","160.51","160.42","0.00%"
"12/23/2016","160.51","162.37","162.37","160.51","-0.61%"
"12/22/2016","161.49","160.43","161.49","160.43","0.91%"
"12/21/2016","160.04","160.43","160.43","160.04","0.30%"
"12/20/2016","159.56","157.52","159.56","157.52","1.88%"
"12/19/2016","156.61","157.52","157.52","156.61","-0.29%"
"12/16/2016","157.07","153.69","157.07","153.69","1.90%"
"12/15/2016","154.14","153.69","154.14","153.69","-0.34%"
"12/14/2016","154.66","155.58","155.58","154.66","-0.64%"
"12/13/2016","155.66","164.35","164.35","155.66","-5.33%"
"12/12/2016","164.42","171.20","171.20","164.42","-3.19%"
"12/09/2016","169.83","165.36","169.83","165.36","3.88%"
"12/08/2016","163.49","166.26","166.26","163.49","-1.14%"
"12/07/2016","165.37","171.11","171.11","165.37","-0.89%"
"12/06/2016","166.86","171.11","171.11","166.86","-2.03%"
"12/05/2016","170.31","171.03","171.03","170.31","0.06%"
"12/02/2016","170.20","173.96","173.96","170.20","-1.75%"
"12/01/2016","173.24","177.89","177.89","173.24","-1.92%"
"11/30/2016","176.64","177.87","177.87","176.64","0.03%"
"11/29/2016","176.59","179.77","179.77","176.59","-2.37%"
"11/28/2016","180.87","179.77","180.87","179.77","1.33%"
"11/25/2016","178.50","179.87","179.87","178.50","-0.81%"
"11/24/2016","179.96","179.83","179.96","179.83","0.76%"
"11/23/2016","178.60","172.02","178.60","172.02","4.66%"
"11/22/2016","170.65","168.13","170.65","168.13","1.18%"
"11/21/2016","168.66","168.12","168.66","168.12","-0.05%"
"11/18/2016","168.74","169.14","169.14","168.74","0.85%"
"11/17/2016","167.31","160.31","167.31","160.31","2.72%"
"11/16/2016","162.88","160.31","162.88","160.31","2.45%"
"11/15/2016","158.99","164.19","164.19","158.99","-2.17%"
"11/14/2016","162.52","160.42","162.52","160.42","1.94%"
